inc_group	n_training	is_incx_like	level	level_name	uniform_threshold	adaptive_threshold	pct_difference	abs_pct_difference
repAci1	120	False	C	L3 (Cluster)	0.05	0.047834	-4.3	4.3
repAci1	120	False	D	L4 (Subcluster)	0.02	0.036681	83.4	83.4
repAci1	120	False	E	L5 (Clone)	0.01	0.023783	137.8	137.8
repAci1	120	False	F	L6 (Strain)	0.001	0.010075	907.5	907.5
repAci_large	203	False	A	L1 (Family)	0.15	0.108824	-27.5	27.5
repAci_large	203	False	B	L2 (Subfamily)	0.1	0.076993	-23.0	23.0
repAci_large	203	False	C	L3 (Cluster)	0.05	0.049424	-1.2	1.2
repAci_large	203	False	D	L4 (Subcluster)	0.02	0.031575	57.9	57.9
repAci_large	203	False	E	L5 (Clone)	0.01	0.018424	84.2	84.2
repAci_large	203	False	F	L6 (Strain)	0.001	0.002927	192.7	192.7
repEF_conj	92	False	A	L1 (Family)	0.15	0.151425	1.0	1.0
repEF_conj	92	False	B	L2 (Subfamily)	0.1	0.134623	34.6	34.6
repEF_conj	92	False	C	L3 (Cluster)	0.05	0.08979	79.6	79.6
repEF_conj	92	False	D	L4 (Subcluster)	0.02	0.033276	66.4	66.4
repEF_conj	92	False	E	L5 (Clone)	0.01	0.011116	11.2	11.2
repEF_conj	92	False	F	L6 (Strain)	0.001	0.002663	166.3	166.3
repEF_res	121	False	A	L1 (Family)	0.15	0.323994	116.0	116.0
repEF_res	121	False	B	L2 (Subfamily)	0.1	0.172734	72.7	72.7
repEF_res	121	False	C	L3 (Cluster)	0.05	0.090425	80.8	80.8
repEF_res	121	False	D	L4 (Subcluster)	0.02	0.054353	171.8	171.8
repEF_res	121	False	E	L5 (Clone)	0.01	0.025293	152.9	152.9
repEF_res	121	False	F	L6 (Strain)	0.001	0.006624	562.4	562.4
repPae_large	199	False	A	L1 (Family)	0.15	0.114138	-23.9	23.9
repPae_large	199	False	B	L2 (Subfamily)	0.1	0.084942	-15.1	15.1
repPae_large	199	False	C	L3 (Cluster)	0.05	0.031993	-36.0	36.0
repPae_large	199	False	D	L4 (Subcluster)	0.02	0.018882	-5.6	5.6
repPae_large	199	False	E	L5 (Clone)	0.01	0.009838	-1.6	1.6
repPae_large	199	False	F	L6 (Strain)	0.001	0.001474	47.4	47.4
repPae_small	150	False	A	L1 (Family)	0.15	0.508772	239.2	239.2
repPae_small	150	False	B	L2 (Subfamily)	0.1	0.279354	179.4	179.4
repPae_small	150	False	C	L3 (Cluster)	0.05	0.066036	32.1	32.1
repPae_small	150	False	D	L4 (Subcluster)	0.02	0.044266	121.3	121.3
repPae_small	150	False	E	L5 (Clone)	0.01	0.026973	169.7	169.7
repPae_small	150	False	F	L6 (Strain)	0.001	0.008777	777.7	777.7
repSA_large	121	False	A	L1 (Family)	0.15	0.146821	-2.1	2.1
repSA_large	121	False	B	L2 (Subfamily)	0.1	0.087285	-12.7	12.7
repSA_large	121	False	C	L3 (Cluster)	0.05	0.032626	-34.7	34.7
repSA_large	121	False	D	L4 (Subcluster)	0.02	0.011968	-40.2	40.2
repSA_large	121	False	E	L5 (Clone)	0.01	0.007054	-29.5	29.5
repSA_large	121	False	F	L6 (Strain)	0.001	0.0032	220.0	220.0
repSA_small	73	False	A	L1 (Family)	0.15	0.595062	296.7	296.7
repSA_small	73	False	B	L2 (Subfamily)	0.1	0.398374	298.4	298.4
repSA_small	73	False	C	L3 (Cluster)	0.05	0.110108	120.2	120.2
repSA_small	73	False	D	L4 (Subcluster)	0.02	0.073298	266.5	266.5
repSA_small	73	False	E	L5 (Clone)	0.01	0.049189	391.9	391.9
repSA_small	73	False	F	L6 (Strain)	0.001	0.017898	1689.8	1689.8
