pLIN	n_plasmids	mean_amr	total_amr	inc_types
1.1.2.4.7.1254	1	4.0	4	IncN
1.1.2.4.7.1253	1	3.0	3	IncN
1.1.2.4.7.1251	1	4.0	4	IncFII
1.1.2.4.7.1250	1	5.0	5	IncFII
1.1.2.4.7.1249	1	6.0	6	IncX1
1.1.2.4.7.1248	1	1.0	1	IncN
1.1.2.4.7.1241	1	6.0	6	IncX1
1.1.2.4.7.1239	1	3.0	3	IncN
1.1.2.4.7.1238	1	2.0	2	IncN
1.1.2.4.7.1235	1	7.0	7	IncN
1.1.2.4.7.1234	1	15.0	15	IncFII
1.1.2.4.7.1233	1	3.0	3	IncFII
1.1.2.4.7.1229	1	6.0	6	IncN
1.1.2.4.7.1262	1	11.0	11	IncFII
1.1.2.4.7.1265	1	1.0	1	IncFII
1.1.2.4.7.1122	1	1.0	1	IncFII
1.1.2.4.7.1266	1	10.0	10	IncFII
1.1.2.4.7.1304	1	1.0	1	IncFII
1.1.2.4.7.1301	1	3.0	3	IncX1
1.1.2.4.7.1298	1	8.0	8	IncFII
1.1.2.4.7.1296	1	2.0	2	IncX1
1.1.2.4.7.1293	1	4.0	4	IncFII
1.1.2.4.7.1284	1	4.0	4	IncFII
1.1.2.4.7.1283	1	2.0	2	IncN
1.1.2.4.7.1278	1	6.0	6	IncX1
1.1.2.4.7.1274	1	22.0	22	IncFII
1.1.2.4.7.1273	1	9.0	9	IncFII
1.1.2.4.7.1272	1	4.0	4	IncN
1.1.2.4.7.1271	1	2.0	2	IncN
1.1.2.4.7.1270	1	2.0	2	IncFII
1.1.2.4.7.1268	1	3.0	3	IncFII
1.1.2.4.7.1267	1	7.0	7	IncFII
1.1.2.4.7.1226	1	2.0	2	IncX1
1.1.2.4.7.1225	1	5.0	5	IncFII
1.1.2.4.7.1224	1	3.0	3	IncN
1.1.2.4.7.1223	1	3.0	3	IncN
1.1.2.4.7.1169	1	2.0	2	IncN
1.1.2.4.7.1166	1	2.0	2	IncN
1.1.2.4.7.1165	1	1.0	1	IncFII
1.1.2.4.7.1164	1	1.0	1	IncN
1.1.2.4.7.1163	1	4.0	4	IncN
1.1.2.4.7.1161	1	10.0	10	IncX1
1.1.2.4.7.1160	1	10.0	10	IncX1
1.1.2.4.7.1156	1	3.0	3	IncN
1.1.2.4.7.1154	1	10.0	10	IncFII
1.1.2.4.7.1153	1	1.0	1	IncX1
1.1.2.4.7.1143	1	6.0	6	IncFII
1.1.2.4.7.1136	1	8.0	8	IncX1
1.1.2.4.7.1133	1	1.0	1	IncN
1.1.2.4.7.1127	1	9.0	9	IncFII
1.1.2.4.7.1125	1	5.0	5	IncFII
1.1.2.4.7.1171	1	7.0	7	IncFII
1.1.2.4.7.1178	1	4.0	4	IncFII
1.1.2.4.7.1182	1	1.0	1	IncFII
1.1.2.4.7.1201	1	5.0	5	IncN
1.1.2.4.7.1222	1	6.0	6	IncN
1.1.2.4.7.1221	1	5.0	5	IncN
1.1.2.4.7.1219	1	14.0	14	IncN
1.1.2.4.7.1216	1	6.0	6	IncFII
1.1.2.4.7.1214	1	5.0	5	IncFII
1.1.2.4.7.1204	1	1.0	1	IncX1
1.1.2.4.7.12	1	3.0	3	IncX1
1.1.2.4.7.1184	1	32.0	32	IncFII
1.1.2.4.7.1199	1	4.0	4	IncFII
1.1.2.4.7.1198	1	1.0	1	IncX1
1.1.2.4.7.1197	1	4.0	4	IncFII
1.1.2.4.7.1191	1	1.0	1	IncFII
1.1.2.4.7.119	1	2.0	2	ColRNAI
1.1.2.4.7.1187	1	9.0	9	IncN
1.1.2.4.7.1659	1	7.0	7	IncX1
1.1.2.4.7.1660	1	3.0	3	IncFII
1.1.2.4.7.1662	1	16.0	16	IncFII
1.1.2.4.7.2118	1	3.0	3	IncX1
1.1.2.4.7.2115	1	4.0	4	IncN
1.1.2.4.7.2114	1	3.0	3	IncN
1.1.2.4.7.2113	1	10.0	10	IncX1
1.1.2.4.7.2112	1	6.0	6	IncX1
1.1.2.4.7.2109	1	7.0	7	IncFII
1.1.2.4.7.2108	1	1.0	1	IncFII
1.1.2.4.7.2106	1	10.0	10	IncFII
1.1.2.4.7.2105	1	8.0	8	IncFII
1.1.2.4.7.2104	1	11.0	11	IncFII
1.1.2.4.7.2103	1	19.0	19	IncFII
1.1.2.4.7.2102	1	10.0	10	IncFII
1.1.2.4.7.2100	1	16.0	16	IncFII
1.1.2.4.7.2099	1	4.0	4	IncFII
1.1.2.4.7.2098	1	1.0	1	IncFII
1.1.2.4.7.2097	1	17.0	17	IncX1
1.1.2.4.7.2116	1	4.0	4	IncN
1.1.2.4.7.2120	1	5.0	5	IncFII
1.1.2.4.7.2094	1	2.0	2	IncFII
1.1.2.4.7.2122	1	3.0	3	IncFII
1.1.2.4.7.2154	1	1.0	1	IncN
1.1.2.4.7.2152	1	5.0	5	IncFII
1.1.2.4.7.2151	1	9.0	9	IncX1
1.1.2.4.7.2150	1	11.0	11	IncX1
1.1.2.4.7.2149	1	6.0	6	IncFII
1.1.2.4.7.2148	1	8.0	8	IncN
1.1.2.4.7.2142	1	5.0	5	IncFII
1.1.2.4.7.2141	1	2.0	2	IncN
1.1.2.4.7.2138	1	3.0	3	IncFII
1.1.2.4.7.2132	1	27.0	27	IncN
1.1.2.4.7.2131	1	1.0	1	IncFII
1.1.2.4.7.2130	1	1.0	1	IncFII
1.1.2.4.7.2129	1	4.0	4	IncFII
1.1.2.4.7.2125	1	2.0	2	IncX1
1.1.2.4.7.2123	1	2.0	2	IncX1
1.1.2.4.7.2095	1	3.0	3	IncFII
1.1.2.4.7.2093	1	1.0	1	IncFII
1.1.2.4.7.2011	1	6.0	6	IncFII
1.1.2.4.7.2059	1	1.0	1	IncFII
1.1.2.4.7.2056	1	10.0	10	IncFII
1.1.2.4.7.2050	1	2.0	2	IncFII
1.1.2.4.7.2043	1	7.0	7	IncN
1.1.2.4.7.2041	1	1.0	1	IncFII
1.1.2.4.7.2040	1	13.0	13	IncFII
1.1.2.4.7.2038	1	6.0	6	IncFII
1.1.2.4.7.2036	1	6.0	6	IncFII
1.1.2.4.7.2032	1	12.0	12	IncFII
1.1.2.4.7.203	1	27.0	27	IncAC2
1.1.2.4.7.2029	1	9.0	9	IncX1
1.1.2.4.7.2028	1	2.0	2	IncFII
1.1.2.4.7.2025	1	10.0	10	IncFII
1.1.2.4.7.2024	1	9.0	9	IncFII
1.1.2.4.7.2021	1	3.0	3	IncFII
1.1.2.4.7.2019	1	2.0	2	IncFII
1.1.2.4.7.2057	1	8.0	8	IncFII
1.1.2.4.7.2060	1	4.0	4	IncFII
1.1.2.4.7.2092	1	3.0	3	IncFII
1.1.2.4.7.2061	1	6.0	6	IncFII
1.1.2.4.7.2091	1	11.0	11	IncN
1.1.2.4.7.2090	1	8.0	8	IncX1
1.1.2.4.7.209	1	5.0	5	IncHI2
1.1.2.4.7.2087	1	1.0	1	IncFII
1.1.2.4.7.2086	1	5.0	5	IncFII
1.1.2.4.7.2083	1	1.0	1	IncFII
1.1.2.4.7.2081	1	10.0	10	IncN
1.1.2.4.7.2077	1	12.0	12	IncFII
1.1.2.4.7.2075	1	4.0	4	IncX1
1.1.2.4.7.2074	1	5.0	5	IncFII
1.1.2.4.7.2073	1	10.0	10	IncFII
1.1.2.4.7.2071	1	1.0	1	IncFII
1.1.2.4.7.2069	1	2.0	2	IncX1
1.1.2.4.7.2068	1	15.0	15	IncX1
1.1.2.4.7.2066	1	15.0	15	IncN
1.1.2.4.7.2155	1	5.0	5	IncFII
1.1.2.4.7.2158	1	2.0	2	IncN
1.1.2.4.7.2159	1	5.0	5	IncFII
1.1.2.4.7.2257	1	2.0	2	IncFII
1.1.2.4.7.2255	1	2.0	2	IncFII
1.1.2.4.7.2249	1	8.0	8	IncX1
1.1.2.4.7.2248	1	5.0	5	IncX1
1.1.2.4.7.2245	1	4.0	4	IncX1
1.1.2.4.7.2242	1	10.0	10	IncX1
1.1.2.4.7.2241	1	9.0	9	IncFII
1.1.2.4.7.2239	1	36.0	36	IncFII
1.1.2.4.7.2238	1	2.0	2	IncFII
1.1.2.4.7.2237	1	7.0	7	IncN
1.1.2.4.7.2236	1	13.0	13	IncFII
1.1.2.4.7.2235	1	1.0	1	IncX1
1.1.2.4.7.2231	1	3.0	3	IncX1
1.1.2.4.7.2229	1	2.0	2	IncN
1.1.2.4.7.2228	1	7.0	7	IncFII
1.1.2.4.7.2225	1	12.0	12	IncFII
1.1.2.4.7.2256	1	4.0	4	IncN
1.1.2.4.7.2258	1	1.0	1	IncN
1.1.2.4.7.2162	1	4.0	4	IncFII
1.1.2.4.7.2260	1	2.0	2	IncFII
1.1.2.4.7.2291	1	3.0	3	IncFII
1.1.2.4.7.2288	1	10.0	10	IncFII
1.1.2.4.7.2287	1	10.0	10	IncFII
1.1.2.4.7.2285	1	9.0	9	IncFII
1.1.2.4.7.2284	1	6.0	6	IncFII
1.1.2.4.7.2281	1	13.0	13	IncX1
1.1.2.4.7.2280	1	6.0	6	IncX1
1.1.2.4.7.2278	1	9.0	9	IncN
1.1.2.4.7.2269	1	5.0	5	IncX1
1.1.2.4.7.2268	1	9.0	9	IncFII
1.1.2.4.7.2267	1	11.0	11	IncX1
1.1.2.4.7.2265	1	1.0	1	IncFII
1.1.2.4.7.2263	1	3.0	3	IncX1
1.1.2.4.7.2262	1	10.0	10	IncFII
1.1.2.4.7.2261	1	7.0	7	IncX1
1.1.2.4.7.2224	1	4.0	4	IncN
1.1.2.4.7.2223	1	13.0	13	IncFII
1.1.2.4.7.222	1	5.0	5	IncX3
1.1.2.4.7.2219	1	6.0	6	IncFII
1.1.2.4.7.2185	1	7.0	7	IncX1
1.1.2.4.7.2184	1	1.0	1	IncFII
1.1.2.4.7.2183	1	14.0	14	IncFII
1.1.2.4.7.2182	1	1.0	1	IncFII
1.1.2.4.7.2181	1	1.0	1	IncN
1.1.2.4.7.2180	1	15.0	15	IncFII
1.1.2.4.7.2178	1	5.0	5	IncX1
1.1.2.4.7.2177	1	4.0	4	IncN
1.1.2.4.7.2176	1	10.0	10	IncFII
1.1.2.4.7.2174	1	1.0	1	IncFII
1.1.2.4.7.2172	1	5.0	5	IncN
1.1.2.4.7.2171	1	2.0	2	IncX1
1.1.2.4.7.2170	1	9.0	9	IncFII
1.1.2.4.7.2167	1	2.0	2	IncN
1.1.2.4.7.2164	1	8.0	8	IncN
1.1.2.4.7.2186	1	11.0	11	IncX1
1.1.2.4.7.2190	1	5.0	5	IncFII
1.1.2.4.7.2192	1	1.0	1	IncX1
1.1.2.4.7.2207	1	10.0	10	IncFII
1.1.2.4.7.2216	1	2.0	2	IncFII
1.1.2.4.7.2214	1	11.0	11	IncFII
1.1.2.4.7.2211	1	3.0	3	IncFII
1.1.2.4.7.2210	1	3.0	3	IncN
1.1.2.4.7.2209	1	1.0	1	IncFII
1.1.2.4.7.2208	1	13.0	13	IncFII
1.1.2.4.7.2201	1	4.0	4	IncFII
1.1.2.4.7.2193	1	18.0	18	IncX1
1.1.2.4.7.2200	1	3.0	3	IncFII
1.1.2.4.7.220	1	6.0	6	IncR
1.1.2.4.7.2199	1	1.0	1	IncFII
1.1.2.4.7.2198	1	17.0	17	IncN
1.1.2.4.7.2196	1	5.0	5	IncN
1.1.2.4.7.2195	1	2.0	2	IncN
1.1.2.4.7.2012	1	1.0	1	IncFII
1.1.2.4.7.2009	1	1.0	1	IncFII
1.1.2.4.7.1664	1	6.0	6	IncN
1.1.2.4.7.1816	1	11.0	11	IncX1
1.1.2.4.7.1814	1	8.0	8	IncFII
1.1.2.4.7.1812	1	7.0	7	IncFII
1.1.2.4.7.1811	1	5.0	5	IncX1
1.1.2.4.7.181	1	17.0	17	IncAC2
1.1.2.4.7.1809	1	2.0	2	IncX1
1.1.2.4.7.1808	1	1.0	1	IncX1
1.1.2.4.7.1807	1	9.0	9	IncX1
1.1.2.4.7.1806	1	14.0	14	IncN
1.1.2.4.7.1805	1	1.0	1	IncFII
1.1.2.4.7.1804	1	11.0	11	IncFII
1.1.2.4.7.1800	1	11.0	11	IncN
1.1.2.4.7.1799	1	3.0	3	IncX1
1.1.2.4.7.1798	1	3.0	3	IncN
1.1.2.4.7.1795	1	2.0	2	IncFII
1.1.2.4.7.1793	1	3.0	3	IncFII
1.1.2.4.7.1815	1	7.0	7	IncFII
1.1.2.4.7.1817	1	12.0	12	IncFII
1.1.2.4.7.1789	1	3.0	3	IncN
1.1.2.4.7.1820	1	17.0	17	IncFII
1.1.2.4.7.1846	1	7.0	7	IncFII
1.1.2.4.7.1840	1	5.0	5	IncN
1.1.2.4.7.184	1	10.0	10	IncR
1.1.2.4.7.1835	1	8.0	8	IncFII
1.1.2.4.7.1834	1	5.0	5	IncFII
1.1.2.4.7.1831	1	6.0	6	IncFII
1.1.2.4.7.1830	1	5.0	5	IncX1
1.1.2.4.7.1829	1	7.0	7	IncX1
1.1.2.4.7.1828	1	6.0	6	IncX1
1.1.2.4.7.1827	1	9.0	9	IncX1
1.1.2.4.7.1826	1	6.0	6	IncX1
1.1.2.4.7.1825	1	6.0	6	IncX1
1.1.2.4.7.1824	1	1.0	1	IncX1
1.1.2.4.7.1823	1	5.0	5	IncN
1.1.2.4.7.1821	1	1.0	1	IncFII
1.1.2.4.7.1790	1	1.0	1	IncX1
1.1.2.4.7.1787	1	18.0	18	IncX1
1.1.2.4.7.2008	1	1.0	1	IncFII
1.1.2.4.7.1725	1	7.0	7	IncFII
1.1.2.4.7.1712	1	5.0	5	IncX1
1.1.2.4.7.1711	1	1.0	1	IncX1
1.1.2.4.7.1710	1	4.0	4	IncN
1.1.2.4.7.1709	1	9.0	9	IncFII
1.1.2.4.7.1689	1	5.0	5	IncFII
1.1.2.4.7.1687	1	8.0	8	IncFII
1.1.2.4.7.1681	1	12.0	12	IncN
1.1.2.4.7.1680	1	7.0	7	IncX1
1.1.2.4.7.1679	1	2.0	2	IncN
1.1.2.4.7.1678	1	6.0	6	IncX1
1.1.2.4.7.1677	1	14.0	14	IncFII
1.1.2.4.7.1676	1	8.0	8	IncX1
1.1.2.4.7.1674	1	13.0	13	IncX1
1.1.2.4.7.1671	1	4.0	4	IncFII
1.1.2.4.7.1668	1	2.0	2	IncFII
1.1.2.4.7.1717	1	11.0	11	IncFII
1.1.2.4.7.1753	1	4.0	4	IncN
1.1.2.4.7.1786	1	3.0	3	IncFII
1.1.2.4.7.1755	1	13.0	13	IncX1
1.1.2.4.7.1785	1	3.0	3	IncFII
1.1.2.4.7.1783	1	6.0	6	IncX1
1.1.2.4.7.1782	1	24.0	24	IncX1
1.1.2.4.7.1780	1	1.0	1	IncN
1.1.2.4.7.1778	1	1.0	1	IncX1
1.1.2.4.7.1775	1	2.0	2	IncN
1.1.2.4.7.1773	1	16.0	16	IncFII
1.1.2.4.7.1771	1	3.0	3	IncX1
1.1.2.4.7.1768	1	22.0	22	IncFII
1.1.2.4.7.1767	1	8.0	8	IncFII
1.1.2.4.7.1765	1	3.0	3	IncX1
1.1.2.4.7.1764	1	6.0	6	IncX1
1.1.2.4.7.1763	1	4.0	4	IncX1
1.1.2.4.7.1758	1	13.0	13	IncX1
1.1.2.4.7.1757	1	11.0	11	IncX1
1.1.2.4.7.1848	1	1.0	1	IncN
1.1.2.4.7.1850	1	6.0	6	IncX1
1.1.2.4.7.1851	1	11.0	11	IncN
1.1.2.4.7.1971	1	17.0	17	IncFII
1.1.2.4.7.1965	1	4.0	4	IncX1
1.1.2.4.7.1963	1	2.0	2	IncX1
1.1.2.4.7.1962	1	1.0	1	IncX1
1.1.2.4.7.1960	1	1.0	1	IncX1
1.1.2.4.7.1958	1	2.0	2	IncX1
1.1.2.4.7.1956	1	2.0	2	IncFII
1.1.2.4.7.1955	1	1.0	1	IncFII
1.1.2.4.7.1950	1	5.0	5	IncN
1.1.2.4.7.1943	1	10.0	10	IncFII
1.1.2.4.7.1941	1	11.0	11	IncX1
1.1.2.4.7.1940	1	12.0	12	IncX1
1.1.2.4.7.1938	1	1.0	1	IncX1
1.1.2.4.7.1935	1	12.0	12	IncX1
1.1.2.4.7.1931	1	9.0	9	IncX1
1.1.2.4.7.1926	1	11.0	11	IncFII
1.1.2.4.7.1970	1	8.0	8	IncN
1.1.2.4.7.1975	1	6.0	6	IncX1
1.1.2.4.7.1854	1	8.0	8	IncFII
1.1.2.4.7.1979	1	5.0	5	IncFII
1.1.2.4.7.2006	1	3.0	3	IncN
1.1.2.4.7.2005	1	3.0	3	IncN
1.1.2.4.7.2001	1	19.0	19	IncFII
1.1.2.4.7.2000	1	23.0	23	IncFII
1.1.2.4.7.1999	1	3.0	3	IncN
1.1.2.4.7.1996	1	1.0	1	IncFII
1.1.2.4.7.1995	1	1.0	1	IncFII
1.1.2.4.7.1994	1	2.0	2	IncFII
1.1.2.4.7.1993	1	1.0	1	IncFII
1.1.2.4.7.1992	1	1.0	1	IncFII
1.1.2.4.7.1989	1	6.0	6	IncFII
1.1.2.4.7.1988	1	8.0	8	IncFII
1.1.2.4.7.1987	1	6.0	6	IncFII
1.1.2.4.7.1982	1	8.0	8	IncFII
1.1.2.4.7.1981	1	3.0	3	IncN
1.1.2.4.7.1922	1	4.0	4	IncX1
1.1.2.4.7.1921	1	9.0	9	IncFII
1.1.2.4.7.1918	1	1.0	1	IncFII
1.1.2.4.7.1915	1	2.0	2	IncN
1.1.2.4.7.1880	1	8.0	8	IncFII
1.1.2.4.7.1879	1	8.0	8	IncFII
1.1.2.4.7.1877	1	3.0	3	IncN
1.1.2.4.7.1874	1	16.0	16	IncX1
1.1.2.4.7.1873	1	8.0	8	IncX1
1.1.2.4.7.1871	1	9.0	9	IncFII
1.1.2.4.7.1869	1	6.0	6	IncFII
1.1.2.4.7.1868	1	3.0	3	IncFII
1.1.2.4.7.1867	1	4.0	4	IncFII
1.1.2.4.7.1866	1	1.0	1	IncFII
1.1.2.4.7.1863	1	4.0	4	IncFII
1.1.2.4.7.1860	1	3.0	3	IncFII
1.1.2.4.7.1859	1	2.0	2	IncX1
1.1.2.4.7.1856	1	1.0	1	IncFII
1.1.2.4.7.1855	1	2.0	2	IncFII
1.1.2.4.7.1881	1	6.0	6	IncFII
1.1.2.4.7.1884	1	8.0	8	IncFII
1.1.2.4.7.1887	1	12.0	12	IncN
1.1.2.4.7.1906	1	7.0	7	IncN
1.1.2.4.7.1914	1	2.0	2	IncX1
1.1.2.4.7.1913	1	4.0	4	IncX1
1.1.2.4.7.1912	1	7.0	7	IncX1
1.1.2.4.7.1911	1	1.0	1	IncX1
1.1.2.4.7.1910	1	2.0	2	IncN
1.1.2.4.7.1907	1	2.0	2	IncFII
1.1.2.4.7.1905	1	5.0	5	IncN
1.1.2.4.7.1891	1	4.0	4	IncFII
1.1.2.4.7.1903	1	3.0	3	IncFII
1.1.2.4.7.1902	1	21.0	21	IncN
1.1.2.4.7.1900	1	7.0	7	IncFII
1.1.2.4.7.1899	1	11.0	11	IncFII
1.1.2.4.7.1895	1	4.0	4	IncX1
1.1.2.4.7.1892	1	3.0	3	IncX1
1.1.2.94.227.1620	1	1.0	1	IncFII
