pLIN	n_plasmids	mean_amr	total_amr	inc_types
1.1.2.4.7.1373	3	5.666666666666667	17	IncFII
1.1.2.4.7.1607	3	8.0	24	IncFII
1.1.2.4.7.2856	3	1.0	3	IncFII
1.1.2.4.7.1849	3	1.0	3	IncX1
1.1.2.4.7.136	3	9.333333333333334	28	IncA
1.1.2.4.7.1359	3	4.666666666666667	14	IncN
1.1.2.4.7.2852	3	1.0	3	IncFII
1.1.2.4.7.1119	3	10.0	30	IncFII
1.1.2.4.7.2622	3	1.0	3	IncN
1.1.2.4.7.1583	3	4.333333333333333	13	IncN
1.1.2.4.7.285	3	2.6666666666666665	8	IncX3
1.1.2.4.7.1581	3	4.0	12	IncFII
1.1.2.4.7.1479	3	6.0	18	IncFII
1.1.2.4.7.1573	3	6.333333333333333	19	IncX1
1.1.2.4.7.1566	3	5.333333333333333	16	IncFII
1.1.2.4.7.328	3	10.0	30	IncA
1.1.2.4.7.1567	3	14.0	42	IncFII
1.1.2.4.7.2384	3	3.3333333333333335	10	IncFII
1.1.2.4.7.185	3	1.0	3	IncX3
1.1.2.4.7.2746	2	7.0	14	IncN
1.1.2.4.7.2546	2	1.0	2	IncFII
1.1.2.4.7.146	2	1.5	3	IncI1, IncN
1.1.2.4.7.2070	2	6.5	13	IncFII
1.1.2.4.7.2101	2	13.0	26	IncFII
1.1.2.4.7.2541	2	2.0	4	IncN
1.1.2.4.7.1841	2	3.0	6	IncFII
1.1.2.4.7.2128	2	5.0	10	IncFII
1.1.2.4.7.1410	2	12.5	25	IncFII
1.1.2.4.7.1473	2	2.5	5	IncFII, IncN
1.1.2.4.7.1411	2	5.0	10	IncFII
1.1.2.4.7.2124	2	2.0	4	IncX1
1.1.2.4.7.1883	2	5.5	11	IncN
1.1.2.4.7.2721	2	9.0	18	IncN
1.1.2.4.7.1422	2	18.0	36	IncN
1.1.2.4.7.2945	2	10.0	20	IncN
1.1.2.4.7.1838	2	19.0	38	IncFII
1.1.2.4.7.1872	2	3.5	7	IncX1
1.1.2.4.7.2538	2	4.5	9	IncFII
1.1.2.34.61.225	2	1.0	2	ColE, ColRNAI
1.1.2.4.7.1861	2	3.0	6	IncFII
1.1.2.4.7.2497	2	3.0	6	IncX1
1.1.2.4.7.2517	2	2.0	4	IncFII
1.1.2.4.7.2948	2	13.0	26	IncFII
1.1.2.4.7.3055	2	4.0	8	IncN
1.1.2.4.7.1435	2	11.0	22	IncFII
1.1.2.4.7.182	2	6.0	12	IncFIB, IncFII
1.1.2.4.7.1862	2	1.0	2	IncFII
1.1.2.4.7.1833	2	8.0	16	IncFII
1.1.2.4.7.2054	2	2.0	4	IncN
1.1.2.4.7.1478	2	3.0	6	IncFII
1.1.2.4.7.1571	2	8.5	17	IncN
1.1.2.4.7.1939	2	1.0	2	IncN
1.1.2.4.7.1665	2	12.0	24	IncFII
1.1.2.4.7.2034	2	4.0	8	IncFII
1.1.2.4.7.2833	2	4.0	8	IncFII
1.1.2.4.7.1953	2	7.0	14	IncFII
1.1.2.4.7.2666	2	16.0	32	IncFII
1.1.2.4.7.2027	2	4.5	9	IncX1
1.1.2.4.7.1564	2	4.0	8	IncN
1.1.2.4.7.2658	2	1.5	3	IncFII
1.1.2.4.7.2645	2	6.0	12	IncN
1.1.2.4.7.1644	2	3.5	7	IncFII
1.1.2.4.7.2780	2	10.0	20	IncFII
1.1.2.4.7.2621	2	1.0	2	IncX1
1.1.2.4.7.1634	2	8.0	16	IncX1
1.1.2.4.7.2624	2	14.0	28	IncFII
1.1.2.4.7.2871	2	5.0	10	IncN
1.1.2.4.7.1594	2	11.5	23	IncX1
1.1.2.4.7.1978	2	5.5	11	IncFII
1.1.2.4.7.1603	2	18.0	36	IncX1
1.1.2.4.7.2855	2	1.0	2	IncFII
1.1.2.4.7.1619	2	2.0	4	IncFII
1.1.2.4.7.2637	2	5.0	10	IncN
1.1.2.4.7.2035	2	6.0	12	IncFII
1.1.2.4.7.2037	2	2.0	4	IncFII
1.1.2.4.7.1682	2	5.0	10	IncX1
1.1.2.4.7.1684	2	6.0	12	IncX1
1.1.2.4.7.1889	2	6.5	13	IncFII
1.1.2.4.7.2063	2	2.5	5	IncFII
1.1.2.4.7.1788	2	8.5	17	IncN, IncX1
1.1.2.4.7.2058	2	4.0	8	IncN
1.1.2.4.7.1779	2	1.0	2	IncX1
1.1.2.4.7.2706	2	5.0	10	IncFII
1.1.2.4.7.2799	2	1.5	3	IncX1
1.1.2.4.7.2913	2	6.0	12	IncFII
1.1.2.4.7.1614	2	12.5	25	IncX1
1.1.2.4.7.1756	2	21.5	43	IncX1
1.1.2.4.7.2052	2	11.0	22	IncN
1.1.2.4.7.1752	2	6.0	12	IncFII
1.1.2.4.7.1916	2	1.0	2	IncFII
1.1.2.4.7.2051	2	6.0	12	IncFII
1.1.2.4.7.2045	2	4.0	8	IncFII
1.1.2.4.7.1924	2	11.5	23	IncN
1.1.2.4.7.1706	2	6.0	12	IncX1
1.1.2.4.7.2820	2	14.0	28	IncX1
1.1.2.4.7.1688	2	14.0	28	IncFII
1.1.2.4.7.1686	2	2.0	4	IncX1
1.1.2.4.7.1535	2	1.0	2	IncFII
1.1.2.4.7.315	2	2.0	4	IncX3
1.1.2.4.7.2298	2	7.0	14	IncX1
1.1.2.4.7.1844	2	6.0	12	IncFII
1.1.2.4.7.1242	2	17.5	35	IncX1
1.1.2.4.7.2189	2	4.0	8	IncX1
1.1.2.4.7.611	2	9.0	18	IncF, IncFII
1.1.2.4.7.1059	2	4.0	8	IncFII
1.1.2.4.7.609	2	2.0	4	IncF, IncFII
1.1.2.4.7.122	2	2.0	4	ColRNAI
1.1.2.4.7.924	2	1.0	2	IncFII
1.1.2.4.7.1051	2	1.0	2	IncX1
1.1.2.4.7.601	2	10.0	20	IncF, IncFII
1.1.2.4.7.927	2	5.0	10	IncN
1.1.2.4.7.596	2	6.0	12	IncI1, IncX1
1.1.2.4.7.1228	2	3.0	6	IncFII
1.1.2.4.7.2395	2	4.0	8	IncFII
1.1.2.4.7.1245	2	8.0	16	IncFII
1.1.2.4.7.951	2	1.5	3	IncN
1.1.2.4.7.1047	2	5.5	11	IncFII
1.1.2.4.7.2331	2	9.0	18	IncFII
1.1.2.4.7.484	2	5.5	11	IncF, IncFII
1.1.2.4.7.2259	2	3.5	7	IncX1
1.1.2.4.7.464	2	4.0	8	IncC, IncFII
1.1.2.4.7.1269	2	2.5	5	IncFII
1.1.2.4.7.2163	2	11.0	22	IncFII
1.1.2.4.7.445	2	1.0	2	IncFIB, IncFII
1.1.2.4.7.1277	2	1.5	3	IncX1
1.1.2.4.7.431	2	2.0	4	ColRNAI, IncX3
1.1.2.4.7.2264	2	1.0	2	IncFII
1.1.2.4.7.1022	2	6.0	12	IncX1
1.1.2.4.7.1194	2	26.5	53	IncN
1.1.2.4.7.647	2	7.0	14	IncA
1.1.2.4.7.2194	2	4.0	8	IncFII
1.1.2.4.7.1188	2	23.0	46	IncFII
1.1.2.4.7.868	2	2.0	4	IncF
1.1.2.4.7.1111	2	5.0	10	IncFII
1.1.2.4.7.2359	2	2.0	4	IncN
1.1.2.4.7.1114	2	2.0	4	IncFII
1.1.2.4.7.1097	2	1.0	2	IncFII
1.1.2.4.7.2226	2	2.0	4	IncX1
1.1.2.4.7.1091	2	9.5	19	IncFII
1.1.2.4.7.1137	2	3.0	6	IncFII
1.1.2.4.7.1142	2	13.0	26	IncN
1.1.2.4.7.2349	2	1.0	2	IncFII
1.1.2.4.7.1085	2	1.0	2	IncX1
1.1.2.4.7.1079	2	1.0	2	IncFII
1.1.2.4.7.317	2	13.0	26	IncFIB, IncN
1.1.2.4.7.2205	2	8.0	16	IncFII
1.1.2.4.7.1159	2	3.0	6	IncX1
1.1.2.4.7.2204	2	5.5	11	IncFII
1.1.2.4.7.1074	2	14.0	28	IncFII
1.1.2.4.7.1072	2	4.0	8	IncFII
1.1.2.4.7.1170	2	2.0	4	IncN
1.1.2.4.7.1175	2	8.0	16	IncFII
1.1.2.4.7.2339	2	1.0	2	IncFII
1.1.2.4.7.224	2	8.0	16	IncFIB, IncFII
1.1.2.4.7.1179	2	1.0	2	IncFII
1.1.2.4.7.2337	2	3.5	7	IncFII
1.1.2.4.7.7	2	7.0	14	IncI, IncI1
1.1.2.4.7.1020	2	1.0	2	IncFII
1.1.2.4.7.50	2	2.0	4	IncFIB
1.1.2.4.7.1107	2	7.5	15	IncN
1.1.2.4.7.962	2	6.0	12	IncFII
1.1.2.4.7.1354	2	1.0	2	IncFII
1.1.2.4.7.1300	2	13.0	26	IncFII
1.1.2.4.7.1350	2	2.0	4	IncN
1.1.2.4.7.409	2	9.0	18	IncF, IncFII
1.1.2.4.7.2414	2	1.5	3	IncN
1.1.2.4.7.981	2	4.0	8	IncFII
1.1.2.4.7.406	2	3.0	6	IncC
1.1.2.4.7.1313	2	11.0	22	IncFII
1.1.2.4.7.1319	2	9.5	19	IncN
1.1.2.4.7.2283	2	9.0	18	IncFII
1.1.2.4.7.39	2	1.0	2	IncX3
1.1.2.4.7.2282	2	8.0	16	IncFII
1.1.2.4.7.1347	2	4.0	8	IncFII
1.1.2.4.7.1018	2	34.0	68	IncFII
1.1.2.4.7.1007	2	3.5	7	IncFII
1.1.2.4.7.2306	2	6.0	12	IncFII
1.1.2.4.7.357	2	1.0	2	IncX4
